reviewer_name,title,review,id
Suguna K.V,Chickmangaluru’s best resort,"We stayed in family suite at Vismita county in the month of jan 2023. Having accommodated at various resorts at Chikmagalur , I can vouch that Vismita county was one of the best. It really outdid itself with regards to aesthetics and the scenic views. It was a very pretty property with a lot of activities and ways to spend the time.Biking around the property was one of my children’s fav activities for sure. Basket ball, badminton, cricket, all varieties of indoor games kept us busy the whole stay.The staff were extremely polite and friendly and made the experience better. They had maintained the place very well and offered good room service. It wasn’t dull and sombre like a few of the other properties. It was very lively amd tranquil at the same time somehow. It left us not",1
Prajwal.Sathish,One of the best or the best hotel I’ve visited in chimangaluru,"We were a family of 4 who stayed in family suite the accommodation was great . I my self who has travelled a lot abroad can’t even describe how much better it was then most resorts/hotels the hotel was architecturally ahead of its time involving many different specimens from all around the world. The food was amazing I prefer eating the butter chicken and butter kulcha if you like eating local whereas in the continental menu everything is great , The sports was the highlight of my trip it included basketball and badminton swimming and so on whereas indoor sports were not as great but fun to pass the time overall enjoyed the experience .",1
Jagan1967,“The wonderful stay “,"We visited Vismita county for 2 nights to friends get together. The property is so nice and very well maintained. Must visit place to enjoy the nature, mornings were so awesome to hear birds chirping. Nalini and Chandan were surprised us with decorations in our room , it’s very nice. The food is very tasty. The coffee shop location is so amazing that u can enjoy ur evening. The overall staff from the entry of gate to room so warm and well behaved. The overall experience of theses two nights are amazing. Will visit again this property.",1
Fearless15929919575,Stay at jucuzzi villa,"Shahina and Santosh were great host  Very polite and helpful and always there for us  Great property though food can be improved a bit  Clean and neat place, most cycles are punctured though ..this can be worked on",1
Shashank,The most amazing stay,"We visited Vismita County for 2 nights to celebrate a birthday. The property can be easily reached by car. It's sprawling, beautiful, extremely well maintained and has everything one can ask for. The Jacuzzi is to die for. They set up a cabana for a special dinner and as a treat Chandan and Pradeep surprised us with decorations in our room and bed. The food is tasty and the reception of everyone here is very warm. I would definitely recommend and visit again for a very special time.",1
Voyage67415803445,Serene,Best place to be visited. One can explore the property by cycling and they also offer buggy service to explore. Must visit place to enjoy the nature amidst beautiful coffee plantation. Food was very good. Must try their malnad cuisine.,1
Kaushik B,Memorable experience,"We are a family of three who like to travel regularly. We decided to take winter break for 4D/3N at Chikmagalur and selected Vismita County based on very positive review in all the travel websites. Our experience surpassed the expectations! Everything with the resort and it's staff are perfect. The location is among the lush green plantation and the rooms are spacious with great amenities. All the staff starting with reception and bell boys to the housekeeping and dining have been wonderful; they went out of their way to make our stay comfortable. Specifically, we would like to acknowledge the reception staff, Mr. Raghu (thr chef) and Ms. Nalini, Mr Chandan and Mr Ganesh from the housekeeping team for their service. Strongly recommended for families for a stay.",1
Navigate27896473052,Good experience,Staff are courteous. Prices are very affordable. Room service is prompt. Food is great. Will definitely visit again . Peaceful and calm place which is ideal for a weekend getaway  . Enjoyed long walks in the property,1
Fearless04676394432,Chikmagalur Stay,Very good resort and had good relaxing time. Good Food & hospitality by resort management. Rooms are good and swimming pool is well maintained. Had pleasant stay for three days with family and enjoyed everything.,1
Explorer02879611161,"Good stay, prices can be improved, specially restraunt ones, food taste is okatish for the amount we spend in restraunt","Luxurious property,good staff at front desk, courteous restraunt staff, decent amenities, amazing view from balcony, cycling & indoor games are available, with a small pond inside, prices are on higher side",1
Abhas saroha,Amazing Weekend stay !,"Good food, nice relaxing property and friendly staff. Will visit again :)  Our kid enjoyed the calm and enjoyed cycling. We did a small trip to chikmaglur and this was a great way to unwind in between checking out the places.",1
Rahul V,Wonderful stay,"We had a very pleasant stay at Vismita County. The front desk staff, house keeping staff and the staff at the restaurant were very helpful and accommodating. We visited as a family of 8 and Sachin at the restaurant took great care of us. The food at the restaurant was also good. Nalini, Chinnu and Chandan from the house keeping were all smiles and made nice decorations on the bed on a daily basis. The resort is beautiful and the view from the family suites was fabulous. Swimming pool is nice and clean and the indoor games room is well kept. We would definitely plan to visit again in the near future.",1
Coastal11684331588,Best place in Chikmagalur for family or couple,It was very nice and serene place with much privacy. Staffs are very courteous and professional and personalised service was provided in all the touch points. Nice place for a peaceful weekend getaway,1
mukund g,Recommended to visit.,Bathroom was clean and tidy. Bed was neatly made with clean and fresh sheets and veriety of pillows. Balcony view is really good.  Restaurant is decent. Food is Tasty.  Room Service is good. Nice path way around property to talk a walk.,1
Road08165274964,Wonderfull experiance..,"Hi greetings to all...As the name says...vismita means..wonder full...had an excellent over all experiance right from gate to front desk and the  dining...the food and team at kurinji Cafe was excellent...house keeping was extraordinary.....will appreciate Nandini ,chinu and chandan....pecial thanks to Madhuri and sushna...for the helpful nature...thanks...will visit again...bye.",1
Chukumas,Relaxing and rejuvinating,Had a wonderful vacation at this place set in the middle of a scenic coffee estate. Rooms are spacious and clean with a beautiful view and the comfort of a jacuzzi in their couple's suite. The staff was very accommodating and courteous. Would love to visit again and definitely would recommend this place.,1
Nigamaanth K,My lovely stay at vismitha county,Vismitha county is a beautiful property.We stayed in ebony.Ebony has a big jacuzzi. The staff here are very friendly. They have a wide range of indoor games. They have 2 restaurants Kurunji and Kalyani. Kalyani is a bar I liked Kalyani a lot because of the variety .,1
Prashant K,U can't be a 4 star property if u lack qualities,Higher priced according to location. Food menu is on a bit steeper side  Package rate should be inclusive of meals No in house activities except bonfire The food tasted good. The staff even asked me to pay for in room biscuit replacement (pity) The liquor (beer) sold was way higher than mrp,1
Niveditha prabhu,Wonder full super,"Good place to stay, good food staffs are very friendly we enjoyed a lot.very tasty food.all arrangements are very good.property very well maintained.good rooms totally good experience we loved it.very nice experience.",1
bhaskar y,A five resort with 5 star services,"A five star resort, spread across acres of lush green. Spacious rooms with the perfect view. If all this sounds exciting then you have to see the customer service. From the exceptional room service to the highest quality of al-a-carte food. Tell the chef to surprise you and they will make the best meat delicacies. There is nothing wrong about this property.",1
Tarun Agrawal,Good place for a getaway,Good place but a bit overpriced.  The view is very nice.  Has all the major amenities expected in a resort.  You also have some nice places at half hour to 1 hour drive from the Resort. Only major con is they don't have room service after 10 pm,1
Kinjalgami,Very Happy Thank you soo much,"Very nice resort, well Maintained all the staffs were very good friendly in nature, Food is very delicious it's like you have prepared at your home. Restaurant person calls you personally and ask whether you had you lunch or dinner so sweet of them Thank you soo much everyone we enjoyed a lot C U again n again",1
saif a,Weekend trip to a coffee estate near Bangalore,"There's no provision of 3.5 ratings, else 3.5 is the perfect fit. Rooms : 4.5 star - I had a independent villa with a private pool. Everything about the room was perfect, but the privacy of the pool. The way to the pool is open to the glare of adjacent room balconies. Service: 5 star: Everyone among the staff pool was courteous and were always at service Food: 3 star: The breakfast spread (complimentary) was below par. After spending 20k+ for a night, spread should be something to be watched out for. I expected better. Only a la carta was available during lunch and dinner, prices were reasonable. Amenities 3.5 star: A 21 acre property in which more than 15 acres can't be accessed. They haven't properly quitilized the space. Such a beautiful property but so much little to do.",1
Pooja Padmasali,"Calm, peaceful, Excellent service and superb staff!!","Placed amidst greenery, Vismita county is one of the best resorts I have visited till date. We had planned for a  vacation and were looking for a place to stay and relax. After booking, I had contacted Vinith, from Hospitality services and he helped us arrange the entire tour, suggesting packages arranging cab services thus making the trip less stressful. There were multiple changes along the way which he accommodated gracefully never saying no.  Hotel staff and service were excellent and catered to our needs constantly, view was stunning, food was tasty with a delicate balance of continental splashed with soulful, spicy local cuisine. Special mention to Chandu, Madhura and Sushma who were extremely helpful and provided services with constant smile on their face.  I highly",1
Dr Swathi,Wonderful Experience,Visited Vismita County last week. Very very friendly ambience with good staff. Had a wonderful time. Serene weather and calm place which makes it a must visit for everyone visiting the place. The 20 acre makes a good place for evening walk!,1
MrsNaveen,Amazing Resort! Much recommended :),Late Review Alert! Ambiance: 10/10 Staff: 9.5/10 (Very well behaved staff) Food: 100/10 (Delicious food and the Chef and Restaurant staff were very courteous :) ) Overall we had an amazing stay.. Note: The anniversary cake we ordered was a bit overpriced :D,1
Shri,2 days Awesome stay at Vismita County,"We had 2 days stay at Vismita County from 8th Sept to 10th Sept. Our stay was pleasant and staff service was excellent (Chandan and Nalini from house keeping). Food was tasty and staff at canteen is very cooperative (Raghu). overall environment was top notch except dispute handling about our booking where we made booking through Agoda for 4 adult + one child but reception argued that we have to pay for extra bed for child. even though we said, we don't need an extra bed. at the end we agreed to pay for that extra bed for kid. Nevertheless, I take that as their policy and I respect it but they could have been more flexible in handling such issue as I stayed in Hyatt Hampi for 4 nights before arriving at vismita County which was booked under same booking ID with Agoda were Hyatt",1
Vinay Kushalappa,Family trip,"Excellent, Great gesture and an amazing hospitality. House Keeping maintenance is just waw with cleanliness. Even the bar and restaurants are good. Thank you so much for all the staff and team members.",1
Ishan P,Great hospitality and service,"I visited this place along with my wife and another couple friend of ours. The food and ambience at both Kurinji cafe and Kalyani bar is great. The property is huge, hence nice to take evening or morning strolls. All staff are polite and cordial. Overall experience was very good.",1
Bijit,"Excellent place for relaxing , warm hospitality from the entire crew of the resort","Every staff in the resort is so polite, food was very homely , we had excellent vacation , we have been waiting for such a vacation since covid outbreak. I recommend for anyone who wants a break from city life",1
Roopkumarb,Good accomadation and Good food,"Best resort available in Chickmangalur . Myself and my wife visited and we did not regret our decision. Right from the Security staff, buggy driver, receptionist Sushmita and madhura , Restaurant staff karthik everyone was very polite and were just to ensure that our stay was perfect. Whats more interesting -->The Chef Raghu  himself visits you and asks if any modifications/ special dishes are required. The moment you step inside the resort, you feel secured and pampered well. Room tips: If you need any discount directly call hotel ,they may  give you 10 to 20 percent less than online price ,Glad we selected Vismita County and we will definitely visit again.",1
Madhavan,Great calm place with great service,"We stayed here for 2 days. The premises was serene. Very well maintained. The staff was very courteous and we didn't have any problem at all during our stay.  The food too was particularly good and I'd like to give a shout out to Karthik, Manu, Raghu and Madhu for making sure we had great meals at the restaurant 👌",1
Kj,"One of the best resort stay experiences, Must visit!","This was truly one of the best and most perfect stay experience we've ever had. Everything right from the stay(special thanks to housekeeping staff nalini and chandan), to the incredible restaurant experience thanks to the chef Raghu who made us custom delicacies for every meal (and some great local preparations) and to all the waiters: kumar, madhu, sachin and restaurant in charge Kartik. I celebrated my birthday here and they went out of their way to do a beautiful dinner setup and decor for me. Also the front desk staff were so helpful and courteous(vineet and sushma). We were given a whole tour of the property and all its amenities as well. This place is a must visit for people looking for a good getaway, some of the best staff, rooms, amenities and food here!",1
Krishna Pandey,Relaxing stay,"Pleasant view with greenery all around. Courteous staff and good food. Thanks to Raghu & Madhu, kids enjoyed Pasta and Shakes and great service at Resto. Clean room & temperature controlled jacuzzi, courtesy Nalini. Hassle-free checkin even got our dates revised due to some health emergency. Madhura & Sushma at frontdesk helped us in that. Enjoyed the stay and weather. Will recommend this place.",1
Preethi,One of the best places to stay in chikmagalur,"The stay was very good. We enjoyed the place. Vismita is a very beautiful place, worth the money, the food was good, rooms were clean, the staff were very helpful, especially madhura and seswanth. Would definitely recommend this place.",1
Pranav,Good resort with decent amenities,It is a well maintained property with a nice view and estate background. The staff here are very helpful and professional. Food service is very swift and they have a wide variety of options however the taste can be improved. Kalyani bar didn’t meet our expectations. We loved the breakfast buffet. Can visit once for a nice relaxed stay,1
kunal,Awesome,Had a pleasant stay..friendly and professional staff ..clean property ..good estate..rooms and bathrooms were clean with all amenities .. Clean pool .. yummy breakfast..resorts with lot of vegetation and serenity..,1
Nithya18,Stunning property with great staff,"Stayed in Vismita County for 3 days in August. Beautiful property, spacious rooms and excellent food in both restaurants. The smiling staff made this place exceptional. While all the staff were equally polite and considerate, special call out to Manoj and Madhu with whom we interacted in Kurinji Restaurant. Will definitely visit again.",1
Richa,Worst vacation experience in vismita county Chikmagalur,"I will never recommend Vismita County Chikmagalur. We have experienced worst hospitality with no complimentary water bottles, no welcome drink and everything whatever u ask is chargeable.When you spend 18000 per night in a resort, you expect to get standard things without asking but here u have to ask and u are told that it’s not complimentary either it’s water bottles or welcome drink or anything which normally u get as a standard. We have horrible experience after spending 60000 rs. In vismita county.",1
Sai kiran ganaji,Best Cozy and scenic resort at Chikmagalur,Best place to stay if you want serene experience away from city hussle and bussle. Resort has only few rooms and it is not crowded. Food is awesome with complete spread. Must try is malnad cuisine .  We planned dinner date at Kalyani Bar and it was best date we had.,1
Mayank Jain,Great stay,"I visited Vismita County with my gamily, it was a wonderful stay. The staff is very helpful and kind. The property is amazingly built and maintained. There is a restaurant and a bar on the property both serve great food and drinks. The breakfast is quite good and service staff is great.",1
ravindra c,Highly recommended.,"Nestled away just on the outside of Chikmagalur, this resort is the meaning of tranquility. The service and staff are amazing! Special shout-out to Raghu (must try his tandoor fish!), Madhu (very graceful in the restaurant, made sure everything was as per our liking) kantaraju (helped us out with the tour and ensuring we didn’t get wet during the rains) , Narini (made sure the rooms were clean) and Madhura (she helped us around the entire property and took the time out to give us a in depth tour).   Everyone here is extremely helpful and will make sure your stay is as comfortable as possible.   The property overall is extremely well maintained and the rooms are very spacious.   Definitely recommended!",1
432avinashs,Weekend getaway at Chikmagalur,"Had a great stay at Vismita County. The resort has spectacular views and the food, housekeeping and reception were all very welcoming. The resort also has indoor games, a swimming pool and cycles for some recreation.  Would defiintrly recommend visitijg this for a weekend getaway.",1
Atul K,1 Day Suite Stay,The stay was memorable. The design of the Suite was excellent as it gave a good view of the scenic view outside.  The washroom was spacious & the jacuzzi was  the cherry on top. The service was great and all the needs were adhered to.   The resort sits within the coffee plantation and it is a good walk around. We would love to visit again.,1
Mahesh,Resort of Excellence,"Stay was excellent. Ideal for families, groups, corporate and lone Travellers. We had a good time and best in class amenities. Enjoyed swimming, cycling and sumptuous food in Kuranji Cafe, Kalyani bar which is the best restaurant of chikamagalur. Staff are polite, courteous, friendly and welcoming. Neat & hygienic place. Highly recommended. Serene locale amidst natural landscape surrounded by western ghats",1
Lalit Manaswi,Excellent resort with scenic beauty,"If you are able to afford, then it is definitely worth it. The food was amazing as there were multiple options available. The staff were courteous and one of them even returned our DSLR charger (we forgot) as we were leaving. A serene getaway.",1
Vinay,Stay at Vismita County,I want to share my experience here! Firstly I have to say this place is very peaceful and pleasant to stay. The staff each and everyone are very welcoming and treated us nicely. I would definitely suggest this place.,1
Sai Prakash P,Awesome experience,"Visited Vismita county and stayed  for one night. Overall it was a awesome experience because I spent my holiday peacefully. All the staff very polite, specially Front office team & Madhura from front desk was very helpful.",1
Vis,Vismita County: Beautiful location,Very good service with excellent ambience. Staff members are friendly and approachable.  Food and ambience at  Kalyani restaurant is good.  Overall a good experience and a must visit resort in chikmagalur.,1
Divyansh,Must visit resort in Chikmagalur,"Beautiful property, very tasty food, location is amazing, staff is so helpful and kind, so many indoor games option, a bicycle ride is must and also explore coffee plantation, black pepper and olive trees in the resort.  All in all must visit and value for money.",1
Vignesh,Short and sweet stay,"We had a great stay at Vismita County. The property is beautiful and very well maintained. The courteous staff are definitely a major plus. On the whole, we loved our stay here and would consider visiting again.  However, a few let downs were  that the room and food were a bit on the expensive side. Also, we found it petty that they made us pay for a drinking glass we broke accidentally.",1
Himanshu,Great place for staycation,We went for the weekend. This is a great property for relaxing staycation. You can request for one of the corner room to enjoy your weeknd amidst the privacy of nature. Rain will be icing on the cake.  Pros Good food Scenic property Service  What can be improved: They can add few more activities to enhance the guest experince Handling at the reception could be more professional   Overall we enjoyed our stay and would recommend  Visimita County as a good place to stay,1
apoorvsh,Most impressive facilities and service,Our group of eleven stayed at Vismita County for three nights and had a very memorable stay. The rooms were cosy and clean. The food at the restaurant was very well done. The ambience at the bar is wonderful. The standard of service is worth a mention. We look forward to coming back.,1
Suvi,An unparalleled experience,"An unparalleled experience at this amazing place. Be it rooms, service, food or location, it's all perfect. Away from the city, it is located in a peaceful place among coffee plantation. The rooms are nice and clean and the service is prompt. The staff is courteous and their greeting with a smile everytime makes it even more happier. The food in both the restaurants is pretty good. Indoor and outdoor games, swimming pool and other activities are available.  In all, it's the best place for relaxation and have a wonderful stay.",1
Swati M,Friends re-union at a perfect place,"We had booked a family suite, and were sure that we would want to spend all our time at the property. We had a trip of 3 nights and we enjoyed our time throughly. The staff has been extremely friendly, polite and helpful.  We were travelling with a child and were in need of some medicines. Even through its not a part of their service they managed it to get from the city.   2 things which could have made it 5 star rating was availability of spa and play area for kids. Which they have assured they will have by november.  The food was very tasty and reasonable. Breakfast had a lot of options.   Overall it was a perfect place for our re-union. Would recommend it for sure.",1
Amit,Holiday in Vismita County,"Great experience.. courteous and supportive staff. All in all a super experience. One suggestion would be to have signboards or direction to property for atleast last 7 km, which will make journey to destination smooth.",1
Shraavya,Relaxed Vacation,The stay at Vismita county was wonderful. The property is beautiful amidst the coffee plantation. The staff are very friendly and the food is delicious! Must try the local food at their restaurant. No complaints!,1
BVV2541,Vismitha County Chikmagalur,"Three of our family visited from June 29 to July2.Stayed in Superior cottage with Balcony.Extra bed was required. Place is Lovely. Food was excellent. Front office staff,Restaurant staff and House Keeping staff were all extremely polite and helpful. Food was excellent. We enjoyed our stay fully. We went out to Water fall and two lakes on two days. Beautiful Nature. Drive was super. Overall we all loved the stay and will probably go back next time we are in that area. Like to give a couple of feed backs to upgrade the resort. Ofcourse it is up to the owners to consider. 1 There is nothing much to do by way of outing within the resort. Just  a 800m loop to walk around. They should consider organising a guided tour of the estate. Many will love it. 2 The extra bed provided must be",1
laksh_p,Weekend outing,Really good stay and the service is also good. Enjoyed our time here. Really peaceful location. Food was also good. Overall had a very good weekend. I would definitely suggest people to try this place.,1
Tejesh Kumar,Well designed and maintained,"Four of us friends visited the place and loved it. Great location, nice design and good food at the restaurants too. Overall we enjoyed the stay and would recommend the property for family, friends or couple.",1
Deepak J,Awesome getaway,excellent location.  pristine greenery. freshest air possible.  awesome staff.  value for money.  Great authentic food.   special thanks to Tanvi and Sachin and madhura from restaurant.  it's bit underrated and calls for more marketing and photos online.,1
Akanksha,Perfect 4-star,"Large rooms with good furniture; friendly, professional service providers; highly palatable food; absolutely stellar campus; great game room; first-rate restaurants... To mention what could be better: lack of room service after 22:00; in a no-balcony room, to step out into a space you have to jump out.",1
Bala22R,Vismita county,"Visited Vismita County, awesome place for a weekend break. Awesome place to stay with great ambiance and food...the staff was very customer friendly and great service..... especially the House keeping staff, restaurant service etc are really good....",1
Sahadmaxx,"Excellent service, clean and beautiful","Our room was extremely comfortable and clean and relaxing haven to back after a long day of exploring place.the service was excellent here we get complimentary breakfast it was very tase and the Kalyani bar ambience is very beautiful ,happy with the service ❤️",1
Sumant,Excellent amenities & well maintained,Had been to Vismita County for my 20th anniversary and had a awesome time. We had booked the villa with plunge pool/jacuzzi and had a great time with memories to cherish. Breakfast spread was excellent and the kalyani bar too offered good drinks/cocktails at a food price.,1
ANIL NAMBIAR,WEEKEND  STAY,"Great property with vibrant staff and  awesome service a must visit property .The room views were just breathtaking , food served was also yummy.  The customer service in this property by each and  every department is just excellent.",1
Anurag T,Team outing,Had a great time at the resort. It's very scenic. Facilities are great and very well maintained. Staff is very courteous and polite. Ours was a large group and still the staff handled us very well.  Over all a great place for corporate team outings.,1
Praveen R,Great time at VismitaCounty,Had excellent experience staying VismitaCounty. Staff was very cordial and made our stay very comfortable. Special shout to Madhura who ensured excellent welcome and even guided us on the property.   Rooms are designed modernly and styled to our taste. Enjoyed the indoor game activities.   Food was very good and had nice spread of cuisines.  Recommend for both couples and family stay.,1
Rupa Sen,Wonderful Time at Vismita County,"We stayed at Vismita County for three days, and it was a truly wonderful experience. The room was spacious and cheerful, and the estate, set amidst a coffee plantation, was incredibly beautiful and well-maintained. The staff was very helpful, warm and hospitable. They made us feel welcome during every moment of our stay. The chef, Mr. Raghu, who often inreracted with us, made sure that all our meals were tasty and enjoyable. Mr. Karthik and his team, including Mr. Madhu, ensured that we were comfortable in the restaurant.  We had our room cleaned on all three days. Ms. Suma, of the housekeeping staff, did such a wonderful job that our room was left spotless every day. All in all, our stay here was a truly unforgettable and happy one, leaving us eager for our next visit.",1
Raghu,Awsome,So this was my first trip after my marriage.. I was looking for a place with good ambiance. So yes vismita county it was awesome staying here. Ambiance is so good. Staff are too good. They treated us so well. And private pool villa was awsome. If your planning for an outing around chikmagalur go for it.. The place is so covered with greeny view. Well maintaned. Thanks you vismita county.,1
khushboo1789,Weekend getaway,"Beautiful property, humble and prompt staff. The drive through the coffee plantation is serene. Rooms r spacious and the vicinity is all green n peaceful.  Recommend to visit with friends and family. Perfect for a weekend getaway.",1
Akshata,Wonderful stay!!!,"We had a very pleasant stay. The family suite was just perfect. Very well maintained.The view is amazing!!! The property is beautiful with peacocks waking you up.  Staff are very courteous & helpful, especially house keeping. Food was good too.  Enjoyed it totally!!!",1
Pallavi G,Ultimate vacation,"Vismita county,  is the perfect place for a family vacation. The rooms and well dressed and spacious . The food served it two of their restaurants is tasty and well priced . The 20 acre  property is well maintained. All the facilities like the indoor games area , pool and cycles are well kept.  The staff is courteous and well trained. We had a wonderful time at chikmanguloor due to our stay here.",1
Dhiren,excellent hospitality,"One who wants peace n love nature can visit Vismita County, Miss Tanvi welcomed us perfectly, There's no issue of Jain food, they cook it well n delicious,All Thanks to Chef Raghu, Wonderful experience overall best resort to explore.",1
Meenakshi,Holiday Visit,"Beautiful view with the greenery view..stay was pleasant and relaxing  , food was super amazing..special thanks to kitchen chef and staff for the awesome food and help for our baby food..housing keeping Girish and Jagadish Thank you for the help .",1
Varun,Staycation at VismitaCounty,"Visited with my family. Had a nice stay. Hotel staff were very friendly. My son really enjoyed the stay. Had a wonderful experience. This was my family first trip post covid so was worried about safety precautions, would definitely recommend this place",1
Avil,Close to nature,Awesome place in midst of woods. Lovely view and weather. Good food and ambience. Drinks near the pond is another attraction. As it's near to Bangalore it's good weekend spot. Prefer staying here again🤩,1
VB,"Good service, great ambiance, and VFM","Good service:  Proactive staff that provide service with a smile, understand your requirement.  Great ambiance: Very well maintained properly, very organised, is self sufficient with 2 restaurants, a well equipped bar, cycling track, and outdoor games.   VFM: Total value for money.",1
Lakshmi Kaushik,Fulfilled family trip,"We stayed for 3 nights 4 days, we had taken 2 cottages and a pool villa, pool villa has a lovely jacuzzi where kids enjoyed, cottages are very clean and well maintained. Thanks vismita county for the amazing stay, good service and excellent food . Highly recommended.",1
512saurabhb,Lovely Stay,Had a lovely stay with the family at the Vismita County Resort. Scenic property. Outstanding Food! Warm Staff especially Prateep & Smitha.  Well spread out property. Lots of cycles. Kids had a great time. Beautiful swimming pool as wel.,1
Shamsher V,Family vacation,The resort was more appealing than expected.  The rooms were very neatly maintained…..thanks to the housekeeping staff Nalini who was very good at her job. Food was amazing and loved the landscaping of the resort. All staff members very helpful.,1
Harsha Reddy,Great stay,We had stayed at Vismita County for weekend and it had offered us a luxurious stay. We had booked pool villa and it fulfilled what was expected from it. The Kalyani Bar in the property seemed like a happening place. The food was good and had varities to offer. Overall the experience was very good and we would like to visit again!!,1
Shantaram K,Stay in Vismita County 20 to 22 May 2022,"Stay with family (including 2 kids) Very Nice Place, plantation, weather, rooms, food and great service. Enjoyed the stay wih a wonderful view if the plantation. Staff is ever ready to help with a smile. Thank you making our stay a pleasant one",1
Rajath M,Luxurious place filled with greenery,"Its a wonderful place , the staff are very helpful , lightning quick service, tasty food , filled with greenery, very scenic place, very clean and well maintained, Its a must visit if you're coming to Chikamagalur",1
Thanvi,Beauty of nature,"I really had a pleasant stay at Vismita County, staff were very hospitable,the scenery was beautiful and it was a relive to walk in such a quite and peacefull environment , the food was very tasty,the location of our room  was absolutely perfect.",1
Vivek,Amazing stay,"Must visit place to enjoy a comfortable and enjoyable stay. Helpful staff, delicious food and amazing property all these are things which will keep amazing you. Bicycles rides, swimming pool was awesome, just a trail walk was great. Best kept rooms, spacious and finally jaccuzi adds cherry to the pie.",1
Vinay,Mr Vinay,It was one of the best properties I have ever visited and stayed at. The entire family enjoyed the stay.   The effort they have put in maintaining the property is well appreciated.        I liked the concept of family room in the property.  (Family of 5.  You will find 2 king size beds). The view from the balcony is amazing. Balcanies have outdoor sitting areas so one can enjoy the views of the area.  The food was also great.        It's all greenery and plenty of purest oxygen all through  the day.,1
Manali,A wonderful stay at VC,"We choose to stay at Vismita County for a weekend getaway at Chikmagalur. The rooms are very clean and spacious. The property is inside a huge coffee estate with elaborate facilities like resturant, bar, game zone, badminton & basketball court, swimming pool, ponds. The staffs are very courteous. All together it was a memorable stay for us. Thank you so much for presenting us with such wonderful memories.",1
Ankit S,Very nice stay,"Nice place, great location, good food, wonderful amenities, great supporting staff. Worth’s stay in chikamagalur. Swimming pool has a nice view Other places a short drive away. Definitely recommend it",1
Arnab Sen,Fantastic stay coupled with scenic beauty,"We checked in for 2 nights and it was a fantastic stay at Vismita County, nested amidst plantation. The lush green coffee plantation and beautiful vegetation surrounding  the cottages reflect the ""inspired by nature"" theme. The hospitality and the warm reception of the staff, serenity and scenic beauty was splendid and made our stay memorable. We came with our parents and we loved the vibe of the place. Thank you so much for a relaxing and beautiful experience!",1
bargavi,Wonderful,I had a wonderful time at Vismita County. The place is great for groups and families. The food and atmosphere were both equally good. A stroll through the estate is sure to put you in a great mood and bring a sense of tranquility. The food and service were beyond great.,1
